=== figure_2_panel_a ===
Simulation Strategy,Context,Mean KSR
Unscripted,0.7435897435897436,0.7435897435897436
Unscripted,0.5333333333333333,0.33333333333333337
Unscripted,0.33333333333333337,0.33333333333333337
Unscripted,-0.5,-0.5
Unscripted,0.23809523809523814,-0.1428571428571428
Unscripted,0.3292682926829268,-0.04878048780487809
Unscripted,0.25,0.25
Unscripted,0.7441860465116279,0.7441860465116279
Unscripted,0.7962962962962963,0.7962962962962963
Unscripted,0.5476190476190477,0.2857142857142857
Unscripted,0.5,-0.13157894736842102
Unscripted,0.5777777777777777,0.5111111111111111
Unscripted,0.6111111111111112,0.6111111111111112
Unscripted,0.7222222222222222,0.6666666666666667
Unscripted,0.61,0.42000000000000004
Unscripted,0.6153846153846154,0.6153846153846154
Unscripted,0.7142857142857143,0.7142857142857143
Unscripted,0.7142857142857143,0.7142857142857143
Unscripted,0.125,-0.1875
Unscripted,0.25,0.25
Unscripted,0.5,-2.25
Unscripted,0.6666666666666667,0.0
Unscripted,0.6153846153846154,0.6153846153846154
Unscripted,0.7741935483870968,0.7741935483870968
Unscripted,0.34375,0.28125
Unscripted,0.736842105263158,0.7631578947368421
Unscripted,0.33333333333333337,0.15555555555555556
Unscripted,0.671875,0.6875
Unscripted,0.7407407407407407,0.7407407407407407
Unscripted,0.5384615384615384,0.3589743589743589
Unscripted,0.72,0.72
Unscripted,0.5714285714285714,0.5714285714285714
Unscripted,0.7241379310344828,0.7241379310344828
Unscripted,0.6111111111111112,0.6111111111111112
Unscripted,0.25,0.25
Unscripted,-0.10000000000000003,-1.7000000000000002
Unscripted,0.7142857142857143,-1.4285714285714284
Unscripted,0.4285714285714286,0.4285714285714286
Unscripted,0.5714285714285714,0.5714285714285714
Unscripted,0.0,0.0
Unscripted,0.7,0.7
Unscripted,0.22619047619047616,0.11904761904761907
Unscripted,0.16666666666666669,-0.11111111111111116
Unscripted,0.5208333333333334,-0.5
Unscripted,0.625,0.625
Unscripted,0.4444444444444444,0.4444444444444444
Unscripted,0.5,0.7222222222222222
Unscripted,0.6666666666666667,0.5
Unscripted,0.4444444444444444,0.4444444444444444
Unscripted,0.31818181818181823,0.18181818181818177
Unscripted,0.6551724137931034,0.6551724137931034
Unscripted,0.6842105263157895,0.6842105263157895
Unscripted,0.625,0.625
Unscripted,0.6666666666666667,0.6666666666666667
Unscripted,-0.5,-0.5
Unscripted,0.75,0.75
Unscripted,0.5833333333333333,0.5833333333333333
Unscripted,0.7391304347826086,0.7391304347826086

=== figure_8_panel_a ===
subject_group,timing_metric_type,condition,is_unscripted,time_interval_millis_mean,time_interval_millis_ci95
OneFinger,IKI,Baseline,False,581.8825090298077,157.3846139570506
OneFinger,IKI,SpeakFaster,False,782.3363830798265,183.21633493930307
OneFinger,AE selection time,SpeakFaster,False,3417.423166513569,653.8062127473121
OneFinger,FillMask selection time,SpeakFaster,False,1940.1128205128205,377.85135656157905
OneFinger,IKI,Baseline,True,546.8414833896987,133.24139544571463
OneFinger,IKI,SpeakFaster,True,964.8397259021172,224.799088462504
OneFinger,AE selection time,SpeakFaster,True,2884.154970760234,598.7104510545566
OneFinger,FillMask selection time,SpeakFaster,True,1631.2222222222222,144.55002860100373
NoConstraint,IKI,Baseline,False,550.2540340357751,295.533051747947
NoConstraint,IKI,SpeakFaster,False,739.9242591941326,207.49678086282967
NoConstraint,AE selection time,SpeakFaster,False,3417.423166513569,653.8062127473121
NoConstraint,FillMask selection time,SpeakFaster,False,1940.1128205128205,377.85135656157905
NoConstraint,IKI,Baseline,True,491.5202374384615,242.59961792103624
NoConstraint,IKI,SpeakFaster,True,839.4952420242987,258.17216171334627
NoConstraint,AE selection time,SpeakFaster,True,2884.154970760234,598.7104510545566
NoConstraint,FillMask selection time,SpeakFaster,True,1631.2222222222222,144.55002860100373
Both,AE server latency,SpeakFaster,,1231.328947368421,92.085852771058
Both,FillMask server latency,SpeakFaster,,672.2037037037037,38.18803166646143

=== figure_8_panel_b ===
phrase_length_bin_num_words,ae_selection_time_millis_mean,ae_selection_time_millis_ci95
0-2,1988.28,196.52412512366615
2-4,2588.5714285714284,239.3363055860887
4-6,2974.074324324324,257.59098104326137
6-8,3878.771186440678,522.4536817019244
8+,4481.976744186047,909.6889330300618

=== figure_9_panel_a ===
condition,is_unscripted,wpm_mean,wpm_ci95
Baseline,False,4.051622984751882,0.7421522897517951
SpeakFaster,False,6.53528052640306,1.298576153555856
Baseline,True,4.361157162793833,0.997475490509454
SpeakFaster,True,6.383475722715942,3.624218484184102

=== figure_9_panel_b ===
condition,is_unscripted,ksr_mean,ksr_ci95
Baseline,False,0.22698513738382506,0.11540328321312045
SpeakFaster,False,0.3601506524310095,0.10910492520708176
Baseline,True,0.022763347763347763,0.2708677121799782
SpeakFaster,True,0.15266934035208893,0.28634623594335756

=== figure_9_panel_c ===
condition,wpm_mean,wpm_ci095
Baseline,8.100502352304385,0.2610119333860066
SpeakFaster,10.43515588138442,2.6008511407269244

=== figure_9_panel_d ===
condition,ksr_mean,ksr_ci095
Baseline,-0.13986102351415036,0.0554488282600777
SpeakFaster,0.32316110879329263,0.1468480679031258

=== figure_10_panel_a ===
condition,is_unscripted,timing_metric,mean_value_millis,ci95_value_millis
Baseline,False,IKI,4388.889328063241,554.11561346175
SpeakFaster,False,IKI,4952.547826086957,685.7772003687016
SpeakFaster,False,ae_selection_time,12732.57142857143,5207.277939192415
SpeakFaster,False,fm_selection_time,7032.571428571428,4584.082095599947
Baseline,True,IKI,3511.7916666666665,712.7529693836568
SpeakFaster,True,IKI,4077.2631578947367,614.1074230321128
SpeakFaster,True,ae_selection_time,21225.5,19807.558133371716
SpeakFaster,True,fm_selection_time,4745.0,2023.2759744093792
SpeakFaster,,ae_server_latency,842.2704402515724,50.46210548074108
SpeakFaster,,fm_server_latency,686.4615384615385,47.64644415484559

=== figure_10_panel_b ===
condition,event_type,interval_millis
AAC Baseline,Keystrokes,14774.48501383334
AAC Baseline,Misc.,1741.5596806542144
AAC SpeakFaster,Keystrokes,5385.409082626695
AAC SpeakFaster,LLM latencies,1062.8858479144994
AAC SpeakFaster,KeywordAE actions,2304.744611753344
AAC SpeakFaster,FillMask actions,1847.0116487455193
AAC SpeakFaster,Misc.,1380.437415557847
Non-AAC Baseline,Keystrokes,2252.4732460579075
Non-AAC Baseline,Misc.,301.86181888171086
Non-AAC SpeakFaster,Keystrokes,836.1027624833844
Non-AAC SpeakFaster,LLM latencies,360.946537059956
Non-AAC SpeakFaster,KeywordAE actions,1172.4646929047829
Non-AAC SpeakFaster,FillMask actions,201.50679439307152
Non-AAC SpeakFaster,Misc.,106.02486816864865

=== figure_s1_panel_a ===
keyword_config,word_abbrev_len_limit,mean_accuracy_top5,sd_accuracy_top5
(v2) Initials-only,,0.7259552042160738,0.0018632589754586126
(v1) Initials-only,None,0.7638326585695007,0.0019085203270892152
random_1,2,0.7536231884057972,0.006718075775484577
random_1,3,0.7654808959156786,0.003726517950917225
random_1,4,0.7891963109354414,0.00492971987717249
random_1,5,0.7918313570487484,0.006718075775484562
random_1,inf,0.8063241106719369,0.0032272592131530487
random_1 (v1),inf,0.8097165991902834,0.0
random_2,2,0.766798418972332,0.008538525294344993
random_2,3,0.8036890645586298,0.008121757579669266
random_2,4,0.8208168642951251,0.006718075775484562
random_2,5,0.8326745718050065,0.006718075775484577
random_2,inf,0.8563899868247695,0.004929719877172539
random_2 (v1),inf,0.8609986504723347,0.010098940315179335
random_3,2,0.7905138339920948,0.0
random_3,3,0.8616600790513833,0.0055897769263758895
random_3,4,0.8801054018445322,0.004929719877172539
random_3,5,0.8814229249011859,0.006454518426306143
random_3,inf,0.9064558629776021,0.00492971987717249
random_3 (v1),inf,0.9338731443994602,0.0019085203270892152
random_4,2,0.8010540184453229,0.0018632589754586126
random_4,3,0.86034255599473,0.0018632589754586126
random_4,4,0.8932806324110673,0.012909036852612242
random_4,5,0.8906455862977603,0.006718075775484562
random_4,inf,0.9209486166007905,0.008538525294345043
random_4 (v1),inf,0.9554655870445344,0.0033056541737964476
random_5,2,0.8181818181818182,0.00853852529434501
random_5,3,0.8866930171277998,0.003726517950917225
random_5,4,0.9183135704874835,0.0018632589754586126
random_5,5,0.9314888010540184,0.004929719877172539
random_5,inf,0.9314888010540184,0.0018632589754586648
random_5 (v1),inf,0.9392712550607287,0.0

=== figure_s1_panel_b ===
model_version,context,keywords,dialogue_turn_number,mean_top5_exact_match_accuracy,std_top5_exact_match_accuracy
(v1),all,Keywords: 1,2,0.7952755905511811,0.0
(v1),all,Keywords: 1,3,0.7842323651452282,0.004149377593360981
(v1),all,Keywords: 1,4,0.7124463519313304,0.00858369098712447
(v1),all,Keywords: 1,5,0.7083333333333334,0.0
(v1),all,Keywords: 1,6,0.6194690265486725,0.008849557522123908
